project_id,category,field,normalized_evidence_count,status,scope_note,reason
REAL_001,identity,project_name,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,authority,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,project_number,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,package_number,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,state,6,partial_evidence_available,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,
REAL_001,identity,district,6,partial_evidence_available,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,
REAL_001,identity,tehsil,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,village,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,chainage_start,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,chainage_end,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,latitude,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,identity,longitude,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,land_required_ha,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,land_available_ha,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,land_to_be_acquired_ha,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,land_acquired_ha,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,land_acquired_till_now_ha,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,acquisition_progress_pct,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,3A_notification_number,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,3A_notification_date,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,3D_notification_number,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,3D_notification_date,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,award_number,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,award_date,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,possession_date,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,possession_percentage,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,CALA,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,land_acquisition,acquisition_status,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,compensation,compensation_amount,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,compensation,compensation_awarded,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,compensation,compensation_paid,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,compensation,compensation_pending,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,compensation,payment_date,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,compensation,affected_families,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,compensation,landowners_count,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,compensation,payment_status,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,rr_social_impact,SIA_status,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,rr_social_impact,SIA_date,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,rr_social_impact,affected_families,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,rr_social_impact,RR_status,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,rr_social_impact,RR_progress,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,rr_social_impact,resettlement_sites,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,rr_social_impact,rehabilitation_status,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,legal,case_number,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
REAL_001,legal,court,0,missing_or_not_yet_verified,Evidence is scoped and dated; presence does not imply current project-wide or study-district completeness.,No accepted normalized observation in this collection pass. Raw documents may contain unextracted information.
