page,reference,text
1,PDF page 1,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
1 
 
 
 
CHENNAI METRO RAIL PROJECT – PHASE II – CORRIDOR 5 
RESETTLEMENT PLAN 
Chapter Title Page Ref 
 Content 1 – 3 
Executive Summary 4 – 6 
Introduction 
 
 
 
I 
A. Background 7 
B. Project description 7 
C. General Profile of Chennai city 10 
D. Profile of the proposed corridor- 5 10 
E. Project impacts 10 
F. Minimizing involuntary Resettlement 12 
G. Impact to indigenous people 13 
H. Scope and objective of Resettlement plan 14 
Scope of Land Acquisition and Resettlement 
 
 
 
II 
A .Land acquisition 14 
B. Alienation of Government Land 17 
C. Impact on Structures 18 
D. Impact on Families 18 
E. Loss of livelihood 19 
F. Loss of trees 19 
G. Loss of common Property Resources 20 
Demographic and socio-Economic profile of Project Affected People 
 
 
III 
A. Methodology adopted 21 
B. Demographic Profile 21 
C. Socio Economic Profile 22 
D. Resettlement Preferences 25 
Consultation, Participation and Disclosure 
 
 
IV 
A. Public consultation 2016- 2018 27 
B. Focus Group Discussions 2019 - 2020  27 
C. Outcome of Public consultation 28 
D. Plan for further consultation in the project 31 
E. Public consultation and Disclosure plan 32 
Resettlement Policy Framework 
 A. Introduction 34 "
2,PDF page 2,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
2 
 
 
 
 
V 
B. Resettlement Policy frame work 34 
C. Guidelines and applicable act 34 
D. Involuntary  Resettlement safeguard Principles for the project 39 
E. Eligibility status of displaced persons 40 
Entitlements, Assistance and Benefits 
 
 
 
 
VI 
A. Introduction 42 
B. Valuation of Land and Assets 42 
C. Compensation Amounts for Land and assets 42 
D. Compensation for structures 43 
E. Compensation for tress 43 
F. Compensation for common property Resources 43 
G. Eligibility 44 
H. Entitlement Matrix 44 
I. Disclosure of RPF and SIA/Resettlement Plan 44 
Income Restoration, Relocation and Rehabilitation 
 
 
 
VII 
A. Loss of livelihood 53 
B. Income Restoration 54 
C. Temporary Relocation due to temporary acquisition 54 
D. Livelihood Rehabilitation of vulnerable 54 
E. Common property Resources 55 
F. Gender Action Plan (GAP) 55 
Institutional Arrangement 
 
 
 
 
 
VIII 
A. Executing agency 57 
B. Implementing agency 57 
C. Project implementation unit(PIU), CMRL 57 
D. Social and environmental Management unit(SEMU) 
Supported by social management consultant 
57 
E. Non- Government organisation (NGO) 58 
F. Implementing support consultant (R&R) 58 
G. Management information system(MIS) 58 
H. Capacity building in CMRL 58 
I. Competent Authorities 59 
J. Grievance Redressal Mechanism (GRM) 60 
K. Interface 60 
L. Grievance Redressal Committee (GRC) 61 
 "
3,PDF page 3,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
3 
 
 
 
Resettlement Plan Implementation 
 
 
 
 
IX 
A. Disbursement of compensation and entitlements 64 
B. Responsibilities for land acquisition and implementation 
resettlement plan 
64 
C. Role of non- Government organization (NGO) 65 
D. Micro Plan 66 
E. Implementation schedule of Resettlement plan 66 
F. Stages of implementation schedule 66 
G. RP implementation schedule 68 
H. Budget estimate for RP implementation 70 
Monitoring, Evaluation and Reporting 
 
X 
A. Monitoring 74 
B. Evaluation 74 
C. Reporting 75 
 
APPENDICES 
Appendix 1 Details of Land Alienated 78 
Appendix 2 Format of socio-economic interviews 80 
Appendix 3 Public Consultation 2016-2018 82 
Appendix 4 Public Consultation 2019 – 2020 114 
Appendix 5 Media Announcements 119 
Appendix 6 Acquisition of Private Property - Process adopted for Chennai 
Metro Phase II Project 
121 
Appendix 7 Terms of Reference of General Consultant in Implementation of 
RP, LRP and GAP 123 
Appendix 8 Terms of Reference (ToR) for NGO/Agency to assist PIU in 
Resettlement Plan Implementation 
125 
Appendix 9 Terms of Reference for Engaging External Monitoring 
Agency/Expert 131 
Appendix 10 Grievance Reporting Form 133 
  "
4,PDF page 4,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
4 
 
 
 
CHENNAI METRO RAIL PROJECT- PHASE II – CORRIDOR 5 
SOCIAL IMPACT ASSESSMENT / RESETTLEMENT PLAN 
EXECUTIVE SUMMARY 
A.  PROJECT DESCRIPTION 
1. Chennai is located on the Coromandel Coast of the Bay of Bengal and is divided 
into four broad regions: North, Central, South and West. The city is expanding quickly along 
the Old Mahabalipuram Road and the Grand South Trunk Road (GST road) in the south and 
towards Ambattur, Koyambedu and Sriperumbudur in the West. Large -scale urbanization in 
IT/ITES and industrialization with the rapid growth of vehicular population has laid sever e 
stress on the urban transport system in the city. As a result, the travel speed of traffic in 
Chennai City in the morning peak hour becomes less than 30 km/hr in the inner city  
2. City level transportation demand is catered predominantly by Metropolitan  
Transport Corporation buses (MTC), Intermediate Public Transport System (IPT) in the form 
of shared services along major arterials and Commuter Rail System including elevated 
MRTS.  The usage of private modes is increasing unabated mainly due to inadequat e public 
transport facilities.  Also, Chennai Metro  Rail project Phase – I covers a  transportation 
network of 45 Km which consists of two corridors both elevated and underground i.e. 
Corridor-1 from Washermenpet to Airport (23 Km), and Corridor -2 from Chennai Central to 
St. Thomas Mount (22 km). 
3. With a view of developing effective and efficient mass transit in addition to the 
existing road -based bus transportation and Phase -I Metro rail, the Government of Tamil 
Nadu has decided to implement Phase -II Metr o rail lines. One of the Phase II lines is 
Corridor 5 from Koyambedu Market Metro to Sholinganalur Metro covering a length of 28.3  
km including 29 stations. 
B.  LAND ACQUISITION AND RESETTLEMENT  
4. For the project, 163,875.5 sq mts land will be acquired permanently, of which 
108,282.5 sq mts are government land and 55,593 sq mts of land is private. In addition to 
this 288,492 sq mts of land will be acquired temporarily, (149172 sq.mt from CMBT to 
Puzhuthivakkam stations and another 139320 sq.mt for Puzhut hivakkam to Elcot stations) 
from Chennai Corporation and State Highways Department. There is no impact on 288492 
sq.mt of land temporarily acquired from Greater Chennai Corporation and State Highways 
Department. Both the departments have handed over the la nd to CMRL. The right of way 
(ROW) of those roads is 24 to 30 meters. The acquired land will be handed over back to the 
department concern after two years.  There is no Project affected persons impacted in the 
right of way. 
5. The proposed project is likel y to have an impact on 2245 structures, out of which 
647 are partially affected residential structures and 1203 are fully affected residential 
structures. 93 commercial structures are partially affected whereas 88 commercial structures 
are fully affected. It is further found that 99 structures are partially affected residential cum 
commercially affected structures meanwhile 21 are fully affected residential cum commercial 
structures. 85 are partially affected and 9 fully affected other structures like templ es, 
hospitals, schools, community centres, etc.   
6. The proposed corridor is likely to have a partial and full impact on 2245 Title 
holders‟ families and 19 Non -title holders‟ families consisting of 7339  project affected "
5,PDF page 5,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
5 
 
 
 
persons. Out of the 2245 affected families, 181 families are residentially affected in which 88 
will be displaced. 1850 families are commercially affected in which 1203 will be displaced. 
As far as residential cum commercial is concerned, out of 2245 families, 120 families are 
affected whereas 21 is identified to be replaced. In other‟s category, 94 families are affected 
in which 9 will be displaced.  There are 983 project affected families identified as vulnerable 
households whereas 171 assets are identified as affected Common Property Resources.  
7. To expedite land acquisition on time , Land Acquisition Rehabilitation and 
Resettlement Unit (LARRU) has been constituted within CMRL. This LARRU is headed by a 
District Revenue Officer and supported by three Deputy Collectors and Tahsildar(s)  
C. CONSULTATIONS 
8. During census and socio-economic survey, consultations were held through onsite 
discussion with likely project affected persons (PAPs) as well as the general public at the 
identified station locations for Corridor -5. During public consu ltations, issues related to land 
acquisition, compensation, income restoration, employment generation, information ﬂow, 
grievance redressal were discussed with the communities. One public consultation was held 
at Sholinganallur on 27 th October 2017 with 17  participants. Another consultation on 4 th 
January 2020 with 233 participants, an afternoon session on the same day with 265 
participants and another consultation meeting on 22 nd January 2020 was held with 124 
participants. 8 Focus Group Discussions (FGDs)  were organized during 2019 with 51 
participants. 12 consultation meetings were held at CMRL office with 133 participants during 
2019.  
D. POLICY AND LEGAL FRAME WORK 
9. A Resettlement Policy framework has been prepared to address social safeguard 
principles of MDBs and RFCTLARR Act 2013 enacted by the Government of India and Tamil 
Nadu Acquisition of Land for Industrial Purpose Act 1997. It describes the approach agreed 
by Implementing Agency CMRL and Multilateral Development Banks (MDBs) namely AIIB, 
and ADB. An Entitlement Matrix has been prepared to include compensation for land and 
assets, structures, loss of income; assistances for resettlement. The entitlements have been 
designed to improve upon the settlement awarded to the affected persons in Chenna i Metro 
Phase 1.  
 
E. COMPENSATION AND ENTITLEMENT  
 
10. The land acquisition for this project is proposed as per Tamil Nadu Acquisition of 
Land for Industrial Purpose Act 1997, as followed in Phase 1 Metro project and the process 
of acquisition will be as  per RFCTLARR Act, 2013. Compensation for land will be awarded 
by negotiation and resettlement assistances by CMRL Policy. If the affected person is 
unwilling to negotiate, compensation for land , as well as resettlement assistances,  will be 
awarded as per RFCTLARR Act, 2013.  
11. The replacement value of houses, buildings and other immovable properties will 
be determined based on  the latest PWD Standard Schedule of Rates (SSR) without 
depreciation. For title holders, the cutoff date for eligibility is the d ate of issue of newspaper 
notification of acquisition of respective property.  Such newspaper notifications were 
commenced from 3rd November 2018 and are continuing as o f date. For non-titleholders, 
the start date of the socio-economic field survey i.e., 1st November 2019 is the cut-off date.  
 
 
 "
6,PDF page 6,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
6 
 
 
 
F. INSTITUTIONAL ARRANGMENTS  
12. The Government of Tamil Nadu (GoTN) and the Government of India (GoI) will be 
the executing agency of the proposed Corridor 5.  CMRL shall be responsible for supervision 
and impleme ntation of the Resettlement Plan (RP) supported by an NGO and General 
Consultant and will send progress reports to the MDB on social safeguards. An external 
expert will be engaged to  conduct third party monitoring on the implementation of the 
Environment and Social safeguard measures under the project. 
G. DISCLOSURE  
13. Resettlement Policy Framework has been disclosed on the website of CMRL and 
AIIB. This Resettlement Plan will be disclosed after approval. After finalisation of project 
design, the Resettlement Plan will be updated, approved and disclosed. Land plan and micro 
plan including the magnitude of loss and asset valuation, list of affected persons will be 
prepared and accordingly, the budget will be revised.  
H. GRIEVANCE REDRESSAL MECHANISM 
  14.  Grievance Redressal Mechanism (GRM) will be established at two levels, one at 
the field level, PIU and the second at the PMU level. The Executive Engineer/LA with the 
assistance of the NGO will receive and record the complaint at the site. The complaint will be 
reviewed and PIU and NGO staff together will try to resolve the issue on -site in consultation 
with the aggrieved party. This will be done within 7 days of receipt of a complaint/ grievance. 
All grievances that cannot be redressed within 7 days at th e field level will be brought to the 
notice of the Grievance Redress Committee. The GRC will resolve the grievance within 4 
weeks of receipt of a complaint/ grievance in discussion with the NGO and consultation with 
the PIU Executive Engineer.  The project GRM notwithstanding, an aggrieved person shall 
have access to the country's legal system at any stage. 
 
I.  MONITORING AND REPORTING  
 
15. The Project Implementation Unit will carry out concurrent monitoring of RP 
implementation through the NGO and prepare  monthly and quarterly progress report in 
terms of physical and financial indicators with the support of the General Consultant. 
Besides, the monitoring process will also look into the communication and reactions of 
PAPs, benefits and options available, use of grievance procedures information dissemination 
to PAPs, and implementation schedule. RP implementation will also be monitored by an 
experienced external expert/agency who will submit periodic evaluation reports on social -
related implementation issues with necessary corrective actions and reflect these in a time -
bound action plan to CMRL for implementation. 
 
J. RESETTLEMENT PLAN IMPLEMENTATION COST  
 
16. The RP implementation cost for Corridor 5 is estimated at   INR 1290.68 crore for 
land and structure cost, whereas 31.10 crore is estimated as R&R cost hence it is found as 
INR 1321.78 crore is the total cost. The R&R scheme will be revised, approved and notified 
after completion of the micro plan. The funds will be provided by GoTN on time to ensure 
that all payment is made against the entitlements prior to displacement. Additional budget as 
needed will be approved and provided by GoTN.  
 
 
 
 
 
 
 
 "
7,PDF page 7,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
7 
 
 
 
 
I. INTRODUCTION 
A. Background 
1. Chennai is located on the Coromandel Coast of the Bay of Bengal and is divided 
into four broad regions: North, Central, South and West. The city is expanding quickly along 
the Old Mahabalipuram Road and the Grand South Trunk Road (GST road) in the south and 
towards Ambattur, Koyambedu and Sriperumbudur in the West. Large -scale urbanization in 
Information Technology/ Information Technology Enabled Services ( IT/ITES) and 
industrialization with the rapid growth of vehicular population has laid severe stress on the 
urban transport system in the city. The usage of private modes is increasi ng unabated 
mainly due to inadequate public transport facilities.  The traffic is concentrated particularly in 
the core area of Chennai. It was found more than 200,000 vehicles per day are passing on 
National Highway (NH) 451.  As a result, the travel speed  of traffic in the morning peak hour 
becomes less than 30 km/hr in the inner city. 
2. At present, city level transportation demand is catered predominantly by 
Metropolitan Transport Corporation buses (MTC), Intermediate Public Transport System 
(IPT) in the  form of shared services along major arterials and Commuter Rail System 
including elevated MRTS. Also Phase -I of Chennai Metro covers 54 km in two corridors - 
Washermenpet to Airport (23.085 Km), Chennai Central to St. Thomas Mount (21.96 Km) 
and extension from Washermanpet to Wimco Nagar (9 km) in Thiruvottriyur. A stretch of 
10.7 km from Koyambedu to Alandur in Corridor 2 became operational from June 2015 and 
Little Mount to Airport (7.7 km) & Alandur to St. Thomas Mount (1.3 km) in Corridor 1 opened 
in September/October 2016. Further, sections from Thirumangalam to Nehru Park (8.0 km) 
in May 2017, Little Mount Station to AGDMS Station and Egmore to Chennai Central Station 
(7.3 km) in May 2018 are also under operations.  
3. Despite these arrangements, the usage of private mode is increasing unabated 
mainly due to inadequate public transport facilities to cater to the need of the growing 
population. Hence intending t o derive the benefits of a modern mass transit system, it is 
essential that the reach of the metro network needs to be extended to cover more locations 
to achieve the goal of reducing private vehicle movement in arterial roads . A  Feasibility 
Report for Phase II Corridors with a total length of 88.9 km was prepared by CMRL in 2015. 
The Detailed Pro ject Report for Chennai Metro Rail Phase -II Corridors for 107.55 km 
covering 3 corridors - C3, C4 and C5 was prepared in March 2017. Detailed Project Report 
for extended C4 corridor (total length 26 km) was prepared in October 2018. 
B   Project description   
4. Corridor 5 from Koyambedu Market Metro to Sholinganallur Metro covers a length of 
28.3  km with 29 stations. Chennai suburban railway network supplements Mass Rapid 
Transit System (MRTS). MRTS of length 19.35 km from Chennai Beach to Velachery is in 
operation, land acquisition for balance MRTS section from Velachery to St Thomas Mount is 
in process. Chennai Metro Phase 1 of 45 km is in operation, work on a 9 km extension from 
Washermanpet to Wimco Nagar is scheduled to be completed soon 
5.Work on prio rity metro railway sections i.e., approx, 35 km from Madhavaram to 
Sholinganallur on corridor 2 and approx. 16 km on Corridor 5 of phase 2 metro is in 
progress. Work on balance 9.627 km corridor 3 and balance 28.3 km corridor 5 is under 
initiation. This report pertains to the balance 28.3 km of Corridor 5 after Koyambedu Market 
Metro upto Sholinganallur Metro station fully elevated and covering 30  stations.  
                                                
1 Data collection survey for Chennai Metropolitan Region Intelligent Transport systems - Final Report 
Japan International Cooperation Agency (JICA) 2017 "
8,PDF page 8,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
8 
 
 
 
6. Out of 30 stations, 7 stations are common stations. Alwarthirunagar Metro, 
Valasaravakkam Metro, Karambakkam Metro, Alapakkam Metro, Porur Metro are 6 stations 
common with Corridor 4 whereas Sholinganallur Metro is common with Corridor 3. Since 
land acquisition was already done for all the 7 common stations, there is no land acquisition 
for corridor 5 from these stations. The project features are given below in the Table 1:1 and 
Table 1:2. The alignment is depicted in Figure 1:1.  
Out of 30 stations, 7 stations are common stations. The stations such as 
Alwarthirunagar Metro, Valasaravakkam Metro, Kara mbakkam Metro, Alapakkam Metro, 
Porur Metro are common stations with Corridor 4.  There are twenty four viaducts with 
4044473 sq.ft of government land and 371659 sq.ft of private land come under land 
acquisition are proposed.  
Table 1.1 Project Features 
Length (KM) Number of Stations  
Corridor Elevated Total Elevated/At 
Grade 
Common 
Stations  
Total 
Corridor – 
5 
28.3 28.3   23 7 30 
Source: Socio-Economic Survey, September 2018-March 2019 
 
Table 1.2 List of Stations 
 
Sl. 
No 
Station Name Chainage (m) Inter station 
Distance (m) 
Elevated/ 
Underground 
1 Koyambedu Market Metro 17055 1022 Elevated 
2 Natesan Nagar Metro 17895 842 Elevated 
3 Virugambakkam Metro 18737 0 Elevated 
4 Alwarthirunagar Metro  
Common with 
C4 
0 Elevated 
5 Valasaravakkam Metro 0 Elevated 
6 Karambakkam Metro 0 Elevated 
7 Alapakkam Metro 0 Elevated 
8 Porur Metro 0 Elevated 
9 Mugalivakkam Metro 23855 1265 Elevated 
10 Ramapuram Metro  25120 1035 Elevated 
11 Manapakkam Metro 26155 1201 Elevated 
12 Chennai Trade Centre Metro 27356 1313 Elevated 
13 Butt Road Metro 28669 1113 Elevated 
14 Alandur Metro 29782 1279 Elevated 
15 St. Thomas Metro 31061 952 Elevated 
16 Adambakkam Metro 32013 730 Elevated 
17 Vanuvampet Metro 32743 852 Elevated 
18 Ullagaram Metro 33595 921 Elevated 
19 Madipakkam Metro 34516 901 Elevated 
20 Kilkattalai 35417 941 Elevated 
21 Echangadu Metro 36358 1013 Elevated 
22 Kovilambakkam Metro 37371 1072 Elevated 
23 Vellakkal Metro 38443 1154 Elevated 
24 Medavakkam I Metro 39597 1200 Elevated "
9,PDF page 9,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
9 
 
 
 
25 Medavakkam II Metro 40797 775 Elevated 
26 Medavakkam III Metro 41572 673 Elevated 
27 Perumbakkam Metro 42245 1012 Elevated 
28 Classical Tamil Institute Metro 43257 1166 Elevated 
29 ELCOT Park Metro 44423  Elevated 
30 Sholinganallur Metro Common with 
C3 
 Elevated 
Source: DPR December 2018 
 
Figure 1:1 Alignment of Project 
 
Source: DPR December 2018 
 "
10,PDF page 10,"Resettlement Plan for Chennai Metro Rail Phase II – Corridor 5 
 
10 
 
 
 
C GENERAL PROFILE OF CHENNAI CITY 
  7. The city area of Chennai is approximately spread on 178.2sq.km. Demographic 
data for the city from the 2011 Census has been analyzed  to understand the demographic 
patterns.  The population of the Chennai Metropolitan Area has been increased from 
approximately 6,560,000 in 2001 to approximately 8,700,000 in 2011 (Ranked 4th in India: 
Census 2011). The sex ratio of the city is 989 per 10 00 male which is the city is 4646732 
(2335844 males and 2310888 females).The percentage of males consists of 50.26% and 
49.74% consists of females. As per the 2011 census, the total literates in Chennai city is 
90.18% of which 93.70% are males while 86.64% are females. The city‟s economy is majorly 
driven by automobile, auto ancillary, general engineering, IT-ITeS and manufacturing-related 
businesses. While the development of major national highways, ports and airport helped in 
the migration to the city, ph ase 1 of metro rail and MRTS made the city commute 
comfortable. North Chennai‟s economy is mainly driven by industrial and port -related 
activities. The region has the presence of two major ports of India - Chennai port and Ennore 
port. Currently, the econo my is being driven by services, electronic hardware and 
manufacturing sectors that maintain a perfect balance of overall growth and diversification. 
D   PROFILE OF THE PROPOSED CORRIDOR-5 
 8. The proposed corridor passes through the main zones of Koyambedu Market 
Metro  to Sholinganallur  Metro comprising of many IT parks such as WIPRO, Tata 
Consultancy Services (TCS) and Infosys, etc and Industrial estates namely Small Industries 
Promotion Corporation of Tamil Nadu (SIPCOT), Nehru Nagar Industrial Estate.  Domestic 
and foreign investment in automobile, Information Technology, and higher education 
institutions are increasing along and in reachable proximity from the proposed corridor.  
E   PROJECT IMPACTS 
9. Chennai city has been growing fast and the demand fo r alternative transport 
network is also increasing to solve the ever -growing congestion problem. The Government 
of Tamil Nadu approved Chennai Metro Rail Project in response to the increasing demand 
for a rail -based rapid transport system. This metro servi ce provides high capacity and 
efficient east-west connectivity through the centre of Chennai by expanding the city's metro 
system considerably. In general, the project shall bring the following benefits in terms of 
quick mobility and safe travel for commut ers. The significant outcome of implementing this 
project will contribute to the following additional benefits. 
 Generate Employment Opportunities 
 Economic Growth   
 Mobility   
 Safety in Travelling   
 Traffic Decongestion   
 Save Fossil Fuel   
 Reduction in Air Pollution  
 A more systematic and cheaper way of commute.  
However, the project will require the acquisition of private land resulting in negative impacts 
to some people living along the corridor. 
10. The proposed project will involve the acquisition of 16 3875.5 sq. mt of land area 
for the proposed corridor. Out of the 163875.5 sq.mt of land area, private land comprises 
55593 sq.mt and 108282.50 sq.mt comprises government land. In addition to this 288,492 
sq mts of government land has been temporarily acqui red for a period of approximately 2 
years. There is no impact on 288492 sq.mt of land temporarily acquired from Greater 
Chennai Corporation and State Highways Department. "
