page,reference,text
1,PDF page 1," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
i 
 
 
 
CHENNAI METRO RAIL PROJECT – PHASE II- CORRIDOR 4 
 
SOCIAL IMPACT ASSESSMENT / RESETTLEMENT PLAN 
 
Chapter Title Page Ref 
Content i - ii 
Executive Summary 1-3 
 
 
 
 
I 
Introduction  
A. Background 4 
B. Project description 4 
C. General Profile of Chennai City 6 
D. Profile of the Proposed Corridor-4 6 
E. Project impacts 6 
F. Minimizing Involuntary Resettlement 8 
G. Impact to Indigenous People 8 
H. Scope and Objective of Resettlement Plan 8 
 
 
 
II 
Scope of Land Acquisition and Resettlement  
A. Land acquisition 9 
B. Alienation of Government Land 9 
C. Impact to Structures 9 
D. Impact on Families 10 
E. Loss of Livelihood 11 
F. Loss of Trees 11 
G. Loss of Common Property Resources 11 
 
 
III 
Demographic and Socio-Economic Profile 
of Project Affected People 
 
A. Methodology adopted 13 
B. Demographic Profile 13 
C. Socio Economic Profile 14 
D. Resettlement Preferences 17 
 
 
 
IV 
Consultation, Participation and Disclosure  
A. Public Consultation 2016-2018 18 
B. Public Consultation December 2018, 2019 and January 
2020 20 
C. Outcome of Public Consultation 22 
D. Plan for further consultation in the project 23 
E. Public Consultation and Disclosure Plan 24 
 
 
V 
Resettlement Policy Framework  
A. Introduction 25 
B. Resettlement Policy framework 25 
C. Guidelines and applicable Act 26 
D. Involuntary Resettlement Safeguard Principles for the Project 30 
E. Eligibility Status of Displaced Persons 31 
 
 
 
 
VI 
Entitlements, Assistance and Benefits  
A. Introduction 33 
B. Valuation of Land and Assets 33 
C. Compensation Amounts for Land and assets 33 
D. Compensation for Structures 34 
E. Compensation for Trees 34 
F. Compensation for Common Property Resources: 34 
G. Eligibility 35 
H. Entitlement Matrix 35 
I. Disclosure of RPF and Resettlement Plan 35 "
2,PDF page 2," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
ii 
 
 
 
 
 
 
VII 
Income Restoration, Relocation and Rehabilitation  
A. Loss of Livelihood 44 
B. Income Restoration 45 
C. Temporary Relocation due to temporary acquisition 45 
D. Livelihood Rehabilitation of Vulnerable 45 
E. Common Property Resources: 45 
F. Gender Action Plan (GAP) 46 
 
 
 
 
 
 
VIII 
Institutional Arrangement  
A. Executing Agency 48 
B. Implementing Agency 48 
C. Project Implementation Unit (PIU), CMRL 48 
D. Social and Environmental Management Unit (SEMU) 
supported by Social Management Consultant 
 
48 
E. Non-Government Organisation (NGO) 49 
F. Implementation Support Consultant (R&R) 49 
G. Management Information System (MIS) 49 
H. Capacity Building in CMRL 49 
I. Competent Authorities: 50 
J. Grievance Redressal Mechanism (GRM) 51 
K. Interface 51 
L. Grievance Redressal Committee (GRC) 52 
 
 
 
 
IX 
Resettlement Plan Implementation  
A. Disbursement of Compensation and Entitlements 55 
B. Responsibilities for land acquisition and implementation of 
Resettlement Plan 
 
55 
C. Role of Non-Government Organization (NGO) 56 
D. Micro Plan 57 
E. Implementation Schedule of Resettlement plan 57 
F. Stages of Implementation Schedule 57 
G. RP Implementation Schedule 58 
H. Budget Estimate for RP implementation 60 
 
X 
Monitoring, Evaluation and Reporting  
A. Monitoring 63 
B. Evaluation 63 
C. Reporting 64 
LIST OF APPENDICES 
Appendix 1: Details of Land alienated. 67 
Appendix 2: Format of socio-economic interviews 68 
Appendix 3: Public Consultation (DPR stage) 2016-2018 70 
Appendix 4: Public Consultation 2018-2019 & January 2020 88 
Appendix 5: Media Announcements 93 
Appendix 6: Acquisition of Private Property - Process adopted for Chennai Metro Phase II 
Project 97 
Appendix 7: Terms of Reference of General Consultant in Implementation of RP, LRP and 
GAP 99 
Appendix 8: Terms of Reference (ToR) for NGO/Agency to assist PIU in Resettlement Plan 
Implementation 101 
Appendix 9: Terms of Reference for Engaging External Monitoring Agency/Expert 107 
Appendix 10: Grievance Reporting Form 109 "
3,PDF page 3," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
1 
 
 
 
CHENNAI METRO RAIL PROJECT- PHASE II – CORRIDOR 4 
RESETTLEMENT PLAN 
EXECUTIVE SUMMARY 
A. PROJECT DESCRIPTION 
1. Chennai is located on the Coromandel Coast of the Bay of Bengal and is divided  
into four broad regions: North, Central, South and West. The city is expanding quickl y along 
the Old Mahabalipuram Road and the Grand South Trunk Road (GST road) in the south and 
towards Ambattur, Koyambedu and Sriperumbudur in the West. Large -scale urbanization in 
IT/ITES and industrialization with rapid growth of vehicular population has  laid severe stress 
on urban transport system in city. As a result, the travel speed of traffic in Chennai City in the 
morning peak hour becomes less than 30 km/hr in the inner city 
2. City level transportation demand is catered predominantly by Metropolitan 
Transport Corporation buses (MTC), Intermediate Public Transport System (IPT) in the form  
of shared services along major arterials and Commuter Rail System including elevated  
MRTS. The usage of private modes is increasing unabated mainly due to inadequate public 
transport facilities. Also, Chennai Metro Rail project Phase – I covers a transportation  
network of 45 Km which consists of two corridors both elevated and underground i.e. 
Corridor-1 from Washermenpet to Airport (23 Km), and Corridor -2 from Chennai Central to 
St. Thomas Mount (22 km). 
3. With a view of developing effective and efficient mass transit in addition to the  
existing road -based bus transportation and Phase -I Metro rail, the Government of Tamil  
Nadu has decided to implement Phase -II Metro rail lines. One of the Phase II lines is the  
Corridor 4 from Lighthouse to Poonamallee Bypass covering a length of 26.085 km including 
30 stations and one maintenance Depot. 
B. LAND ACQUISITION AND RESETTLEMENT 
4. The proposed corridor will involve acquisi tion of 10.74 ha of land area for the  
proposed corridor and 17.40 ha of land for the depot in corridor. Out of the 10.74 ha of land  
area, private land comprises of 5.70 ha and government land comprises of 5.04 ha. 
Government land acquisition of 17.4 ha has been proposed for the depots, 
5. The proposed project is likely to have an impact on 429 structures, out of which 66 
are residential structures, 333 are commercial structures, and 30 are other structures like  
temples, hospitals, schools, community centres etc. On the basis of alignment drawing it was 
found that out  of total 429  structures in Corridor-4, about 124 structures shall be fully 
affected and remaining 305 structures shall be partially affected. In addition to this one Kiosk 
which can be shifted to n earby place is considered for resettlement allowance only as per  
RFCTLARR Act, 2013 
6. The proposed corridor is likely to have a partial and full impact on 1031 families  
consisting 4755 project affected persons. Out of the 1031 families 297 are residentially  
affected families. 734 are economically affected families . 
7. To expedite land acquisition in a timely manner, Land Acquisition Rehabilitation  
and Resettlement Unit (LARRU) has been constituted within CMRL. This LARRU is headed  
by a District Revenue Officer and supported by three Deputy Collectors and Tahsildar(s) "
4,PDF page 4," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
2 
 
 
 
 
 
C. CONSULTATIONS 
8. During census and socio-economic survey, consultations were held through onsite 
discussion with likely project affected persons  (PAPs) as well as general public at  the 
identified station locations for Corridor-4. During public consultations, issues related to land  
acquisition, compensation, income restoration, employment generation, information ﬂow,  
grievance redressal were discussed with the communities. 
D. POLICY AND LEGAL FRAME WORK 
9. A Resettlement Policy framework has been prepared to address social safeguard  
principles of MDBs and RFCTLARR Act 2013 enacted by Government of India and Tamil  
Nadu Acquisition of Land for Industrial Purpose Act 1997. It describes the approach agreed  
by Implementing Agency CM RL and Multilateral Development Banks (MDBs) namely AIIB,  
ADB and NDB. An Entitlement Matrix has been prepared to include compensation for land  
and assets, structures, loss of income; assistances for resettlement. The entitlements have  
been designed to imp rove upon the settlement awarded to the affected persons in Chennai  
Metro Phase 1. 
 
E. COMPENSATION AND ENTITLEMENT 
10. The land acquisition for this project is proposed as per Tamil Nadu Acquisition of  
Land for Industrial Purpose Act 1997, as followed in Phase 1  Metro project and the process 
of acquisition will be as per RFCTLARR Act, 2013. Compensation for  land will be awarded  
by negotiation and  resettlement assistances by  CMRL Policy. If the affected  person is  
unwilling to negotiate, compensation for land as we ll as resettlement assistances will be  
awarded as per RFCTLARR Act, 2013. 
11. The replacement value of houses, buildings and other immovable properties will  
be determined on the basis of latest PWD Standard Schedule of Rates (SSR) without  
depreciation. For tit le holders, cutoff date for eligibility is the date of issue of newspaper  
notification of acquisition of respective property. Such newspaper notifications were 
commenced from 3rd November 2018 and are still continuing as on date. For non- 
titleholders the start date of socio -economic field survey i.e., 1st November 2019 is the cut - 
off date. 
 
F. INSTITUTIONAL ARRANGEMENTS 
12. The Government of Tamil Nadu (GoTN) and Government of India (GoI) will be the 
executing agency of the proposed Corridor 4.   CMRL shall be r esponsible for supervision  
and implementation of the Resettlement Plan (RP) supported by an NGO and General  
Consultant and will send progress reports to the MDB on social safeguards. An external  
expert will be engaged to conduct third party monitoring on the implementation of the 
Environment and Social safeguard measures under the project. 
G. DISCLOSURE 
13. The draft Resettlement Plan will be disclosed along with the approved 
Resettlement Policy Frame work. After finalisation of project design, the Resettlement P lan 
will be revised, approved and notified. Land plan and micro plan including magnitude of loss  
and asset valuation, list of affected persons will be prepared and accordingly budget will be  
revised. 
H. GRIEVANCE REDRESSAL MECHANISM 
14. Grievance Redressal Mechanism (GRM) will be established at two-levels, one at 
the field level, PIU and second at the PMU level.  The Executive Engineer/LA with the  
assistance of the NGO will receive and record the complaint at the site. The complaint will be "
5,PDF page 5," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
3 
 
 
 
 
reviewed and PIU and NGO staff together will try to resolve the issue on -site in consultation 
with the aggrieved party. This will be done within 7 days of receipt of a complaint/ grievance.  
All grievances that cannot be redressed within 7 days at the field level will be brought to the  
notice of the Grievance Redress Committee. The GRC will resolve the grievance within 4  
weeks of receipt of a complaint/ grievance in discussion with the NGO and  in consultation 
with the PIU Executive Engineer. The project GRM notwithstanding, an aggrieved person  
shall have access to the country's legal system at any stage. 
 
I Monitoring and Reporting 
 
15. The Project Implementation Unit will carry out concurrent monitoring of RP 
implementation through the  NGO and  prepare monthly and  quarterly progress report  in 
terms of physical and financial indicators  with the support from General Consultant. In 
addition, the monitoring process will  also look  into the communication and reactions of 
PAPs, benefits and options available, use of grievance procedures information dissemination 
to PAPs, and implementation schedule. RP implementation will also be monitored by an  
experienced external expert/agency who will subm it periodic evaluation reports on social  
related implementation issues with necessary corrective actions and reflect these in a time - 
bound action plan to CMRL for implementation. 
 
J. Resettlement Plan Implementation cost 
 
16. The RP implementation cost for th e Corridor 4 is arrived as INR 4840.million          
(USD 65.36 million ) which comprises of compensation for land and assets to a tune of INR  
4778.00 million (USD  64.52 million) and R&R assistances INR. 62.00 million (USD 0.84  
million) . The R&R scheme wil l be revised, approved and notified after completion of micro  
plan considering the magnitude of loss and asset valuation The funds will be provided by  
GoTN in a timely manner to ensure that all payment are made against the entitlements prior  
to displacement. Additional budget as needed will be approved and provided by GoTN. "
6,PDF page 6," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
4 
 
 
 
 
I. INTRODUCTION 
 
A. Background 
1. Chennai is located on the Coromandel Coast of the Bay  of Bengal and is  divided 
into four broad regions: North, Central, South and West. The city is expanding quickly along  
the Old Mahabalipuram Road and the Grand South Trunk Road (GST road) in the south and 
towards Ambattur, Koyambedu and Sriperumbudur in the West. Large -scale urbanization in 
IT/ITES and industrialization with rapid growth of vehicular population has laid severe stress  
on urban transport system in city. The usage of private modes is increasing unabated mainly 
due to inadequate public transport facilities. * The traffic is concentrated particularly in the  
core area of Chennai. It was found  more than 200,000 vehicles per day are pas sing on 
NH45 and Inner Ring Road and around 170000 vehicle per day   are passing on NH5 and  
NH 205 . As a result, the travel speed of traffic in the morning peak hour becomes less than  
30 km/hr in the inner city. 
2. At present, City level transportation demand is catered predominantly by 
Metropolitan Transport Corporation  buses (MTC), Intermediate Public Transport System  
(IPT) in the form of shared services along major arterials and Commuter Rail System 
including elevated MRTS. Also Phase -I of Chennai Met ro covers 54 km in two corridors - 
Washermenpet to Airport (23.085 Km), Chennai Central to St. Thomas Mount (21.96 Km)  
and extension from Washermanpet to Wimco Nagar (9 km) in Thiruvottriyur. A stretch of 
10.7 km from Koyambedu to Alandur in Corridor 2 became operational from June 2015 and  
Little Mount to Airport (7.7 km) & Alandur to St. Thomas Mount (1.3 km) in Corridor 1 opened 
in September/October 2016. Further, sections from Thirumangalam to Nehru Park (8.0 km) 
in May 2017, Little Mount Station to AGDMS Station and Egmore to Chennai Central Station 
(7.3 km) in May 2018 are also under operations. 
3. In spite of these arrangements, the usage of private mode is increasing unabated  
mainly due to inadequate public transport facilities to cater to the need of growing 
population.Hence with a view to derive the benefits of a modern mass transit system, it is  
essential that the reach of the metro network needs to be extended to cover more locations  
to achieve the goal of reducing private vehicle movement in arter ial roads. A Feasibility  
Report for Phase II Corridors with a total length of 88.9 km was prepared by CMRL in 2015.  
The Detailed Project Report for Chennai Metro Rail Phase-II Corridors for 107.55 km 
covering 3 corridors - C3, C4 and C5 was prepared in Mar ch 2017. Detailed Project Report  
for extended C4 corridor (total length 26 km) was prepared in October 2018. 
 
B Project description 
 
4. Corridor 4 from Poonamallee to Lighthouse covers a length of 26.8 km with 30  
stations. In Phase-II DPR, Corridor-4 was initially planned from Light House to CMBT with a  
total length of 16.5 Km covering Foreshore Road, Thirumaylai, Nandanam, Kodambakkam,  
Vadapalini, Saligramam, Elangonagar, Sai Nagar etc. Corridor was completely underground. 
5. Government of Tamil Nadu through CMRL has studied the extension of Corridor -4 
from Avichi School to Ponnamallee. Corridor -4, follows same route from Light house upto  
Avichi School. It further continues on the Arcot Road and covers Alwathirunagar, Porur  
Junction, Chennai Bypass Road, Iyappanthangal Bus Terminus, KumananChavadi, 
Poonamallee Bus Terminus and Outer Ring Road to cover 26.8Km with 30 stations. The  
corridor terminates at Outer Ring Road cloverleaf with Depot situated on one side of the  
Poonammallee Bypass Road. Light House to Poonamal lee Bypass corridor is proposed to  
have independent train operation. 
*Data collection survey for Chennai Metropolitan Region Intelligent Transport systems- Final 
Report Japan International Cooperation Agency (JICA) 2017 "
7,PDF page 7," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
5 
 
 
 
 
6. The project features are given below in the Table 1:1 and Table 1:2. The alignment 
is depicted in Figure 1:1.One major maintenance depot is proposed at Poonamallee bypass. 
 
Table 1.1 Project Features 
 
Length (KM) Depot 
Entry 
Number of Stations 
Corridor Under 
Ground Elevated Total Under 
Ground 
Elevated/ 
At Grade Total 
Corridor-4 10.071 16.014 26.085 1.0 12 18 30 
Table 1.2 List of Stations 
 
S 
N 
 
Station Name 
 
Chainage 
(m) 
Inter- 
station 
Distance 
(m) 
 
Elevated/ 
Underground 
1 Lighthouse 20 - UG (190x21.80) 2L 
2 Foreshore Estate Road 806 786 UG (190x21.80) 2L 
3 Kutchery Road 1764 958 UG (190x21.80) 2L 
4 Thirumayilai Metro 2564 800 UG (190x21.80) 2L 
5 Alwarpet 3302 738 UG (190x21.80) 2L 
6 Bharathidasan Road 4141 839 UG (190x21.80) 2L 
7 Adyar Gate Junction 5177 1036 UG (150x21.40) 3L 
8 Nandanam 6188 1011 UG (150x21.40) ML 
9 Natesan Park 6813 625 UG (150x21.40) 3L 
10 Panagal Park 7436 623 UG (150x21.40) 2L 
with ext. concourse 
11 Kodambakkam Metro 8453 1017 UG (150x21.40) ML 
12 Meenakshi College 9275 822 UG (190x21.80) 2L 
13 Power House 10315 1040 Elevated (140x21.95) 
14 Vadapalani 11078 763 Elevated (140x21.95) 
15 Saligramam 11743 665 Elevated (140x21.95) 
16 Avichi School 12691 948 Elevated (140x21.95) 
17 Alwarthiru Nagar 13607 916 Elevated (140x21.95) 
18 Valasaravakkam 14541 934 Elevated (140x21.95) 
19 Karabakkam 15665 1124 Elevated (140x21.95) 
20 Alapakkam Junction 16426 761 Elevated (140x21.95) 
21 Porur Junction 17244 818 Elevated (140x21.95) 
22 Chennai Bypass Crossing 18054 810 Elevated (140x21.95) 
23 Ramchandra Hospital 18977 923 Elevated (140x21.95) 
24 Iyappanthangal Bus 
Depot., 19751 774 Elevated (140x21.95) 
25 Kattupakkam 20860 1109 Elevated (140x21.95) 
26 Kumanan Chavadi 21670 810 Elevated (140x21.95) 
27 Karyan Chavadi 22550 880 Elevated (140x21.95) 
28 Mullaithottam 23497 947 Elevated (140x21.95) 
29 Poonamallee BuTerminus 24370 873 Elevated (140x21.95) 
30 Poonamallee Bypass 25440 1070 Elevated (140x21.95) 
Source: DPR Chennai Metro Phase 2 Corridor 4, EIA Report, RITES, Jan 2019 "
8,PDF page 8," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
6 
 
 
 
 
Figure 1:1 Alignment of Project 
 
 
C GENERAL PROFILE OF CHENNAI CITY 
 
7. The city area of Chennai is approximately spread on 178.2sq.km. Demographic  
data for the city from the 2011 Census has been analyzed to understand the  demographic 
patterns. The population of Chennai Metropolitan Area has been increased from 
approximately 6,560,000 in 2001 to approximately 8,700,000 in 2011 (Ranked 4th in India:  
Census 2011). The sex ratio of the city is 989 per 1000 male which is city i s 4646732  
(2335844 males and 2310888 females).The percentage of males consists of 50.26% and  
49.74% consists of females. According to the 2011 Census, approximately 9.9% of total  
population lower than the sex ratio of the state i.e. 995. As per 2011 census , total literates in 
Chennai city is 90.18% of which 93.70% are males while 86.64% are females. The city’s  
economy is majorly driven by automobile, auto ancillary, general engineering, IT -ITeS and 
manufacturing related businesses. While development of major national highways, ports and 
airport helped in the migration to the city, phase 1 of metro rail and MRTS made the city  
commute comfortable. North Chennai’s economy is mainly driven by industrial and port - 
related activities. The region has the presence of two major ports of India - Chennai port and 
Ennore port. Currently, the economy is being driven by services, electronic hardware and  
manufacturing sectors that maintain a perfect balance of overall growth and diversification 
D PROFILE OF THE PROPOSED CORRIDOR-4 
 
8. In corridor 4 among the surveyed population it is observed that 68.23 % are male  
and remaining 31.77 % are female. The sex ratio is 465 per 1000 males. The proposed  
corridor passes through the main zones of Greater Chennai Corporation comprising of many 
IT parks and Industrial estate. Domestic and foreign investment on automobile, Information  
Technology, and higher education institutions are increasing along and in reachable 
proximity from the proposed corridor. Poonammallee, the terminal point of C4 is a town 
surrounded with industrial infrastructural facilities with abundant possibility for future 
expansion. 
 
E PROJECT IMPACTS 
9. Chennai city has been growing fast  and the demand for alternative transport  
network is also increasing to solve the  ever-growing congestion problem. The Government  
of Tamil Nadu approved Chennai Metro Rail Project in response to the increasing demand 
for a rail based  rapid transport system. This metro service provides  high capacity and 
efficient east-west connectivity through the centre of Chennai by expanding the city's metro 
"
9,PDF page 9," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
7 
 
 
 
 
system considerably. In general, the project shall bring the following benefits in terms of 
quick mobility and safe travel for commuters. The significant outcome of implementing this  
project will contribute the following additional benefits. 
 Generate Employment Opportunities 
 Economic Growth 
 Mobility 
 Safety in Travelling 
 Traffic Decongestion 
 Save Fossil Fuel 
 Reduction in Air Pollution 
 More systematic and cheaper way of commute. 
However, the project will require acquisition of private land resulting in negative impacts to  
some people living along the corridor. 
10. The proposed project will involve acquisition of 10 .74 ha of land area for the  
proposed corridor and 17.40 ha of land for the depots in corridor. Out of the 10.74 ha of land  
area private land comprises of 5.70 ha and 5.04 ha comprises of government land. 
Government land acquisition of 17.4 ha has been proposed for the depots, 
11. The proposed project is likely to have an impact on 429 structures, out of which  
about 124 structures shall be fully affected and remaining 305 structures shall be partially  
affected. The summary of R&R impacts and impacts to vulne rable category are presented in 
Table 1:3 and Table 1:4. Impacts reported in this report will be revised upon finalisation of  
alignment drawings, completion of socio -economic survey of all affected families including  
those under viaduct, station parking and depot land. 
Table 1.3 Summary of the R&R impacts 
 
Impacts Extent/Numbers 
Private land acquisition in Corridor-4 5.04 ha 
Govt. land acquisition in Corridor-4 5.70 ha 
Private land acquisition for depot in Corridor-4 Nil 
Govt. land acquisition for depot in Corridor-4 17.40 ha 
Total affected structures 429 
Total fully affected structures 124 
Total partially affected structures 305 
Total Project Affected Persons (PAPs) 4755 
Total Project Affected Families (PAFs) 1031 
Residentially affected families 297 
Economically affected families 734 
Titled PAFs 450 
Non-Titled PAFs 581 
Affected Common Property Resources 31 
Source: SIA - Socio Economic Survey, Sept 2018 to March 2019 
Table 1.4 Impact to Vulnerable Category (mutually exclusive) 
 
Vulnerable Category Numbers 
Women Headed Households 26 
Scheduled Tribe (ST) headed households 04 
Scheduled Caste (SC) headed households 109 
BPL Households 59 
Total 198 
Source: SIA for CMRL, Corridor-4- Final 2019 "
10,PDF page 10," Social Impact Assessment / Resettlement Plan for Chennai Metro Rail Phase II – Corridor 4  
8 
 
 
 
 
F Minimizing Involuntary Resettlement 
12. The acquisition of land for the project will displace people from their home,  
livelihood base, and business base. Efforts have been made to keep land requirement to the 
barest minimum by so choosing the alignment that the acquisition of private property is  
minimal Measures adopted to minimize the adverse impacts are as follows:- 
a. Project design can significantly reduce the number of people affected, the severity of  
potential impacts, and  the costs and burdens for the project itself.  Detailed field  
surveys conducted and preliminary developed designs minimize land acquisition and  
mitigate adverse resettlement impacts wherever possible. The Site selection for 
constructing infrastructure and other facilities were done in such manner to minimize  
acquisition of land. 
b. During design stage extra care was taken to avoid affecting public 
properties/religious structures. Preference to open land especially Government land  
was considered instead of habitation and structures for building stations and 
viaducts. 
c. Appropriate disclosure of information, consultation, with affected people 
 
G Impact to Indigenous People 
13. The field survey and consultations held  along the project area confirm that there  
are no indigenous people in the settlements along the proposed corridor and further the  
proposed corridor does not impact any indigenous people. Four Scheduled Tribe families  
form part of project affected families: it was found that land and natural resources are  not 
linked to their identity, culture or livelihood; the economic and political institutions which  
support these families are the same as those of other sections of the population. Thus these  
families are part of the mainstream population. 
H Scope and Objective of Resettlement Plan 
14. The objective of this resettlement plan is to avoid involuntary resettlement 
wherever possible; to minimize involuntary resettlement by exploring project and design  
alternatives; to enhance, or at least restore, the livelihoods of  all displaced persons in real  
terms relative to pre -project levels; and to improve the standards of living of the displaced  
poor and other vulnerable groups This resettlement plan captures the involuntary 
resettlement impacts arising out of the proposed construction of CMRL – Corridor 4.. The  
document describes the magnitude of impact, mitigation measures proposed, method of  
valuation of land, structure and other assets, eligibility criteria for availing benefits, baseline  
socio-economic characteristics, entitlements based on type of loss and tenure, the 
institutional arrangement for delivering the entitlements and mechanism for resolving 
grievances and monitoring. This resettlement plan is based on the census and socio 
economic survey that was carried out  along the entire 26.085 km length of the project from  
September 2018 to March 2019. "
