page,reference,text
1,PDF page 1,"    
 
 
 
 
 
 
 
 
December - 2020  
 
 
 
 
      
 
 
 
 
 
 
Updated Social Impact Assessment Report (Volume – I) 
 
MAPLE Consortium - General Consultant for Mumbai Metro Line 3 
  MUMBAI METRO LINE 3 
 
 
"
2,PDF page 2,"                                                                                               General Consultant for Mumbai Metro Line 3 
 
 
    
 
Updated Social Impact Assessment Report 
Volume - I 
 
December - 2020 
 Issuing 
Entity Discipline Area Document No. Index 
GCC RRL P00 GCC-MMR-RRL-P00-200964-A3 I 
 "
3,PDF page 3,
4,PDF page 4,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
CONTENTS 
Sr. NO TITLE & SUB-TITLE PAGE NO 
   
PREAMBLE      
CHAPTER 1 INTRODUCTION  
   
1.1 Background 1 
1.2 Benefits of the Project 1 
1.3 Project Description  1 
1.4 Land Acquisition and Resettlement  6 
1.5 Minimizing Resettlement  7 
1.6 Objective of Social Impact Assessment (SIA)  8 
1.7 JICA Requirements  8 
1.8 The Report  8 
   
CHAPTER-2 STUDY APPROACH AND METHODOLOGY  
   
2.1 Introduction 9 
2.2 SIA and Resettlement Plan Preparation Process 9 
2.3 Desk Research 11 
2.4 Site Visits and Creating Awareness 11 
2.5 Enumeration of Structure and Mapping 12 
2.6 Socio-Economic Survey 13 
2.7 Compilation and Verification of Data 13 
2.8 Data Analysis and Report Writing 14 
2.9 Community and Public Consultation 14 
2.10 Limitations of the Study 14 "
5,PDF page 5,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
Sr. NO TITLE & SUB-TITLE PAGE NO 
   
   
CHAPTER-3 IMPACTS AND INVENTORY LOSS  
   
3.1 Background 16 
3.2 Overall Project Impact 16 
3.3 Land Requirement and Acquisition 17 
3.4 Inventory of Structure Loss 20 
3.5 Impact on Families and People 24 
3.6 Loss of Residence 25 
3.7 Loss on Business 26 
3.8 Impact on Vulnerable Population 28 
3.9 Impact on Community Resources 29 
   
CHAPTER-4 BASELINE SOCIO-ECONOMIC STUDY  
   
4.1 The Project Area-An Overview 31 
4.2 Profile of Project Affected Families 32 
4.2.1 Demographic and Social Conditions 32 
4.2.1.1 Gender and Sex Ratio 32 
4.2.1.2 Religious and Social Groups 32 
4.2.1.3 Mother Tongue and Place of Nativity 33 
4.2.1.4 Age Group 33 
4.2.1.5 Family Pattern and Family Size 33 
4.2.1.6 Educational Attainment 35 
4.2.2 Economic Conditions of PAFs  35 "
6,PDF page 6,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
Sr. NO TITLE & SUB-TITLE PAGE NO 
   
4.2.2.1 Employment Status 36 
4.3 Household Assets 37 
4.4 Commercial/Self Employment Activities  37 
4.5 Documents Available 38 
4.6 Information on Structure 38 
4.7 Awareness and Opinion about the project 39 
   
CHAPTER-5  PUBLIC CONSULTATION   
   
5.1 Background 41 
5.2 Objectives of the Consultation 41 
5.3 Approach and Methods of Consultation 42 
5.4 Consultation at Project Affected Area 42 
5.5 Consultation at City Level 50 
5.6 Information Disclosure and Consultation 54 
 
5.6.1 Implementation of I.T. enabled Rehabilitation and Resettlement 
System 54 
5.7 Community Participation during Project Implementation 59 
   
CHAPTER-6 RESETTLEMENT POLICY AND LEGAL FRAMEWORK  
   
6.1 Legal Framework 60 
6.2 The Metro Railways (Construction of Works) Act, 1978; amended 
in 2009. 60 
6.3 Maharashtra Regional Town Planning Act, 1966 61 
6.4 JICA’s Guidelines on Involuntary Resettlement 61 "
7,PDF page 7,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
Sr. NO TITLE & SUB-TITLE PAGE NO 
   
6.5 Resettlement and Rehabilitation Policy for MUTP, 1997 (amended 
in 2000) 62 
6.5.1 Eligibility and Entitlement Matrix 63 
6.6 
Right to Fair Compensation and Transparency in Land 
Acquisition, Rehabilitation and Resettlement Act, 2013 
(RFCTLARR Act 2013) 
67 
6.7  
In-situ Rehabilitation with Redevelopment Policy for Project 
Affected Families (PAFs) Due to Kalbadevi and Girgaon Metro 
Station 
72 
6.7.1 Affected Buildings  72 
6.7.2 Permanent Alternate Accommodation Location  72 
6.7.3 Classification of PAFs to determine their entitlements 72 
6.7.4 Temporary Accommodations 73 
6.7.4.1 Option for Residential Transit accommodations  73 
6.7.4.2 Maintenance Charges in Transit accommodations 73 
6.7.4.3 Option of Rents to residential / commercial / shop PAPs for units 
of their choice 73 
6.7.4.4 Shifting Allowance 74 
6.7.5 Option for Change of Unit Use from Commercial to Residential 74 
6.7.6 Agreements to be signed with tenants 74 
6.7.7 Agreements to be signed with tenants 74 
   
CHAPTER-7 INSTITUTIONAL ARRANGEMENT  
   
7.1 Background 75 
7.2 Mumbai Metro Rail Corporation (MMRC) 75 
7.3 NGOs Support during Implementation and Post Resettlement 
Phase 75 
7.4 R&R Implementation Support Consultant 75 "
8,PDF page 8,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
Sr. NO TITLE & SUB-TITLE PAGE NO 
   
7.5 Public Relation Consultant  76 
7.6 Grievance Redress Committee (GRC) 76 
7.7                                External Evaluation Agency  80 
   
CHAPTER-8 RELOCATION AND RESETTLEMENT SITE  
   
8.1 Background 81 
8.2 Resettlement Options 81 
8.2.1 Encroachments / Slum Dwellers on public land, 81 
8.2.2 Legal Title Holders / Occupants of Formal Buildings,  93 
8.2.3 Footpath Occupiers / Licensed Stall Holders on public land, 94 
8.2.4 Others (Govt.). 94 
CHAPTER-9 IMPLEMENTATION SCHEDULE   
   
9.1 Background 95 
9.2 Project Preparatory Stage 95 
9.3 Implementation Stage 95 
9.4 Implementation Schedule 95 
   
CHAPTER 10 RESETTLEMENT ASSISTANCE PLAN AND COST ESTIMATE  
   
10.1 Background 97 
10.2 Valuation of and Compensation for Losses 97 
10.3 Compensation for Land and Structure 97 
10.4 Replacement cost for Non-Titleholders & Titleholders 97 "
9,PDF page 9,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
Sr. NO TITLE & SUB-TITLE PAGE NO 
   
10.5 Shifting Allowance 97 
10.6 Community Operated Fund 98 
10.7 Relocation of Religious Property 98 
10.8 Relocation of other Community Resources 98 
10.9 Compensation for Economic Losses 98 
10.10 Cost Estimate for R&R 99 
 
CHAPTER- 11 MONITORING AND EVALUATION  
   
11.1 Background 101 
11.2 Internal Monitoring 101 
11.3 Independent Evaluation 102 
11.4 Reporting Requirements 103 
References  104 
   
Annexures  105 
 
 "
10,PDF page 10,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
LIST OF TABLES 
NO                 TITLE 
Table 1.1  Corridor Lengths and Period for Implementation in Mumbai Metro Master Plan 
Table 1.2  Major Sections of Metro Corridor (Line III) 
Table 3.1  Overall Project Impacts 
Table 3.2  Impact on Land Resources 
Table 3.3  Impacts on Structures 
Table 3.4  Type of Affect 
Table 3.5 Impact on Affected Families 
Table 3.6  Loss of Residence 
Table 3.7  Loss of Business 
Table 3.8  Vulnerable Population 
Table 3.9  Impact on Community Resources 
Table 4.1  Socio-Economic Characteristics of Mumbai 
Table 4.2  Socio Demographic Profile 
Table 4.3  Educational Attainment 
Table 4.4 Economic Conditions of PAF 
Table 4.5  Employment Status of PAF 
Table 4.6  Household Assets 
Table 4.7 Commercial/Self Employment Activities  
Table 4.8 Documents Available 
Table 4.9 Information on Structure 
Table 4.10  Project Related Information 
Table 5.1  Details of Consultation at Affected Area 
Table 5.2  Issues Discussed & MMRC Reply 
Table 5.3  Details of Public Hearing on Social Issues 
Table 6.1  Main Elements of Metro Railways (Construction of Works) Act 1978 
Table 6.2  MUTP R&R Entitlement Matrix "
