page,reference,text
1,PDF page 1,"  
 
 
 
Submitted to 
RITES LIMITED 
New Delhi 
Submitted by 
  
 MUMBAI METRO RAIL CORPORATION LIMITED 
    मुंबई मेशो रेल िनगम िलिमटेड 
SOCIAL IMPACT ASSESSMENT  
FOR MUMBAI METRO RAIL LINE‐ III 
(COLABA‐BANDRA‐SEEPZ) 
VOLUME‐I 
FINAL REPORT 
SEPTEMBER 2012 
  
 
 
RITES LIMITED
(A Government of India Enterprise) 
RITES Bhawan,Plot No.1,Sector-29 
GURGAON-122001(INDIA) 
www.rites.com 
"
2,PDF page 2," 
 
SO
 
 
 
 
 
 
 
 
 
CIAL IM
RAI
  
 MUM
    मु
MPACT A
L LINE‐ 
MBAI M
मुंबई मे
ASSESS
III (COL
 
METRO 
मेशो रेल 
 
MENT F
LABA‐B
 
 
RAIL CO
ल िनगम
FOR MU
BANDRA
ORPOR
म िलिम
RIT
(A Go
RITES
GURG
Ph: 0
www.
UMBAI 
A‐SEEPZ
FINA
   SEP
RATION
िमटेड 
TES LIMIT
vernment of Ind
S Bhawan,Plo
GAON-122001
124-2818760,F
.rites.com 
METRO
Z) 
VOLUM
AL REPO
PTEMBER 2
N LIMI
TED 
dia Enterprise) 
ot No.1,Sector-
(INDIA) 
Fax:0124-2571
O 
 
 
 
 
 
 
 
 
ME‐I 
ORT 
2012 
TED
 
-29 
1660 "
3,PDF page 3," 
Social Impact Assessment for Mumbai Metro Line-III (Colaba-Bandra-SEEPZ) 
 
Abbreviation    
 
 
ABBREVIATION 
 
APL   Above Poverty Line 
AIDS   Acquired Immunodeficiency Syndrome 
BPL   Below Poverty Line 
BMC   Bombay Municipal Corporation 
BPIP   Borrower’s Project Implementation Plan 
BSES   Baseline Socio-Economic Study  
CPR   Common Property Resources 
CTSO   City Survey Officer  
CRZ   Coastal Regulation Zone 
CRF   Community Revolving Fund 
CEMP   Community Environmental Management Plan 
CBO   Community Based Organisation 
DPR   Detailed Project Report 
DC   District Collector 
DRC   Development Rights Certificate 
DMRC   Delhi Metro Rail Corporation 
ESMD   Environmental & Social Management Division 
EIA   Environmental Impact Assessment 
ERG   Economic Rehabilitation Grant 
FGD   Focus Group Discussion 
FSI   Floor Space Index 
GR   Government Resolution 
GOM   Government of Maharashtra 
GRC   Grievance Redress Committee 
GC   General Consultancy 
HIV   Human Immunodeficiency Virus 
ICCP   Information and Community Consultation Programme 
IEA   Independent Evaluation Agency 
JICA   Japan International Cooperation Agency 
SLAO   Special Land Acquisition Officer 
LAA   Land Acquisition Act 
MOUD   Ministry of Urban Development "
4,PDF page 4," 
Social Impact Assessment for Mumbai Metro Line-III (Colaba-Bandra-SEEPZ) 
 
Abbreviation    
 
 
MUIP   Mumbai Urban Infrastructure Project 
MMR   Mumbai Metropolitan Region 
MMRDA  Mumbai Metropolitan Region Development Authority 
MMMP   Mumbai Metro Master Plan 
MMRCL  Mumbai Metro Rail Corporation  
MUTP   Mumbai Urban Transport Project 
MSW   Master in Social Work  
MCGM   Mumbai Corporation of Greater Mumbai 
M&E   Monitoring and Evaluation 
NTH   Non-Title Holder 
NRRP   National Rehabilitation & Resettlement Policy 
NGO   Non-Governmental Organisation 
ODA   Official Development Assistance 
PIU   Project Implementation Unit 
PAF   Project Affected Family 
PAP   Project Affected People 
PIC   Public Information Centre 
RAP   Resettlement Action Plan 
ROW   Right of Way 
RITES   Rail India Technical and Economic Services 
SC   Scheduled Castes 
ST   Scheduled Tribes 
STD   Sexual Transmitted Disease 
SRA   Slum Rehabilitation Scheme 
SDC   Social Development Cell 
SBE   Small Business Enterprise 
SJSRY   Suvarna Jayanti Sahari Rojghar  Yojana 
TDR   Transferable Development Rights  
TBM   Tunnel Boring Machine 
TOR   Term of Reference 
TH   Title Holder 
  "
5,PDF page 5,"Social Impact Assessment for Mumbai Metro Line-III (Colaba-Bandra-SEEPZ) 
 
 
Contents   
 
 
CONTENTS 
NO                TITLE  PAGE 
NO 
 
CHAPTER-0: EXECUTIVE SUMMARY                                                                                   0.1-0.4 
 
CHAPTER 1: INTRODUCTION  1-7 
 
1.1 Background         1
 1.2 Benefits of the Project         1 
1.3  Project Description         2 
1.4 Land Acquisition and Resettlement      4 
1.5 Minimizing Resettlement       6 
1.6 Objective of Resettlement Action Plan      6 
1.7 JICA Requirements         7 
 1.8 The Report         7 
 
CHAPTER-2: STUDY APPROACH AND METHODOLOGY   8-13 
 
2.1 Introduction         8 
2.2 SIA and RAP Preparation Process      8 
2.3 Desk Research                   10  
2.4 Site Visits and Information Dissemination               10 
2.5 Enumeration of Structure and Mapping                10 
2.6 Socio-Economic Survey                  11 
2.7 Compilation and Verification of Data                11 
2.8 Analysis and Report Writing                 12 
2.9 Community and Public Consultation                12 
2.9 Limitations of the Study                  12 
 
CHAPTER-3: IMPACTS AND INVENTORY LOSS 14-21 
 
3.1  Background                   14
 3.2 Overall Project Impacts                  14 
3.3 Land Requirement and Acquisition                 15 
3.4 Inventory of Structure Loss                 16 
3.5 Impact on Families and People                 17 
3.6 Loss of Residence                  19 
3.7 Loss on Business                  20 
3.8 Impact on Vulnerable Population                20 
3.9 Impact on Community Resources                21 
 
CHAPTER-4: SOCIO-ECONOMIC PROFILE 22-30 
 
4.1 The Project Area-An Overview                 22 
4.2 Profile of Project Affected Families                22 
4.2.1 Demographic and Social Conditions                22 
4.2.1.1 Religious and Social Groups                 23 
4.2.1.2 Mother Tongue and Place of Nativity                23 
4.2.1.3 Age Group                   23 
4.2.1.4 Marital Status                   23
 4.2.1.5 Family Pattern and Family Size                 23 
4.2.1.6 Educational Attainment                  25 
4.2.2 Economic Conditions                  25   
4.2.3 Employment Status                  26 
4.2.4 Household Assets                  27 
4.2.5 Documents Available                  28
 4.3  Commercial/Self Employment Activities                28 
4.4  Awareness and Opinion about the project                29 
 
 
 "
6,PDF page 6,"Social Impact Assessment for Mumbai Metro Line-III (Colaba-Bandra-SEEPZ) 
 
 
Contents   
 
 
CHAPTER-5: PUBLIC CONSULTATION 31-40 
 
5.1 Background                   31 
5.2 Objectives of the Consultation                 31 
5.3 Approach and Methods of Consultation                32 
5.4 Consultation at Project Affected Area                 32 
5.5 Consultation at City Level                 35 
5.6 Information Disclosure and Consultation                39 
5.7 Community Participation during Project Implementation              39 
 
CHAPTER-6: RESETTLEMENT POLICY AND LEGAL FRAMEWORK 40-50 
 
6.1 Legal Framework                  40 
6.2 Land Acquisition Act, 1894 (Amended In 1984)               40 
6.3 Mumbai Metropolitan Region Development Authority Act, 1974             42 
6.4 The National Rehabilitation and Resettlement Policy, 2007             43 
6.5 JICA’s Guidelines on Involuntary Resettlement               45 
6.6 Resettlement and Rehabilitation Policy for MUTP, 1997               45 
6.7 Eligibility and Entitlement Matrix                 46 
 
CHAPTER-7: INSTITUTIONAL ARRANGEMENT 51-56 
 
7.1 Background                   51 
7.2 Mumbai Metropolitan Region Development Authority              51 
  7.3 Social Development Cell (SDC)                  51 
7.4 NGOs Support during Implementation and Post Resettlement Phase            52 
7.4 Implementation Support of Consultant                         53 
7.5 Public Relation Consultant                             53 
7.6 Grievance Redress Committee (GRC)                            53 
       
CHAPTER-8: RELOCATION AND RESETTLEMENT SITE 57-65 
 
 
 8.1 Background                   57 
8.2 Resettlement Options                   57 
 
CHAPTER-9: IMPLEMENTATION SCHEDULE 65-66 
 
9.1 Background                   65 
9.2 Project Preparatory Stage                                65 
9.3 Rap Implementation Stage                 65 
9.4 Rap Implementation Schedule                  65 
 
CHAPTER 10: RESETTLEMENT ASSISTANCE PLAN AND COST ESTIMATE 67-70 
 
10.1 Background                   67 
10.2 Compensation for Legal Titleholders                            67 
10.3 Compensation for Non-Titleholders                67 
10.4 Shifting Allowance                           67 
10.5 Compensation for Economic Loss of Affected Employees                         67
 10.6 Community Revolving Fund                            68 
10.7 Relocation of Religious and Community Structures               68
 10.8 Income Restoration                  68 
10.9 Post Resettlement Support                 70
 10.10 Cost Estimate for R&R                  70
    
CHAPTER- 11: MONITORING AND EVALUATION                       71-74 
 
11.1 Background                   71 
11.2 Internal Monitoring                  71 
11.3 Independent Evaluation                  72 
11.4 Reporting Requirements                  74 
 
References "
7,PDF page 7,"Social Impact Assessment for Mumbai Metro Line-III (Colaba-Bandra-SEEPZ) 
 
 
Contents   
 
 
LIST OF TABLES 
 
NO TITLE 
 
Table 1.1 Corridor Lengths and Period for Implementation in Mumbai    
Table 1.2 Major Sections of Metro Corridor (Line III)      
Table 3.1  Overall Project Impacts                   
Table 3.2  Impact on Land Resources                  
Table 3.3  Impacts on Structures                   
Table 3.4 Partially Affected Structures 
Table 3.5 Fully Affected Structures 
Table 3.6 Affected Families with type of Loss 
Table 3.7 Category of Affected Families 
Table 3.8  Status of Affected Families with type of Loss 
Table 3.9  Loss of Residence                  
Table 3.10  Loss of Business                   
Table 3.11  Vulnerable Population                  
Table 3.12   Impact on Community Resources                 
Table 4.1  Socio-Demographic Profile                  
Table 4.2  Economic Conditions                 
Table 4.3  Employment Status                 
Table 4.4  Household Assets 
Table 4.5 Documents Available 
Table 4.6 Commercial/Self Employment Activities                 
Table 4.7 Project Related Information                  
Table 5.1 Details of Consultation at Affected Area 
Table 5.2 Issues Discussed & MMRC Reply 
Table 5.3 Details of Public Hearing on Social Issues     
Table 6.1           Main Elements of Land Acquisition as per MMRDA Act, 1974              
Table 6.2           MUTP R&R Entitlement Matrix                 
Table-7.1           Role of Stakeholders for Implementation of RAP                           
Table 8.1           Proposed Resettlement Site                  
Table 8.2 Details about Resettlement Site at Bhakti Park,Wadala    
Table 8.3 Details about Resettlement Site at Natwar Parek,Govandi 
Table 8.4 Detail about R&R Sites of Metro Line-1,2 & 3               
Table 9.1            RAP Implementation Schedule 
Table 10.1         Cost for Resettlement & Rehabilitation                  
Table 11.1  Indicators for Monitoring of Rap Progress                 
Table 11.2  Indicators for Project Outcome Evaluation                
                
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
8,PDF page 8,"Social Impact Assessment for Mumbai Metro Line-III (Colaba-Bandra-SEEPZ) 
 
 
Contents   
 
 
 
LIST OF FIGURES 
 
NO TITLE 
 
Figure 1.1 Mumbai Metro Master Plan 
Figure 1.2  Proposed Colaba – Bandra – SEEPZ Metro Corridor 
Figure 2.1  Approach and Methodology for SIA 
Figure 7.1          Organisational Structure of FLGRC/SLGRC 
Figure 8.5         R&R Sites of Metro Line 1,2 and 3 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
9,PDF page 9,"Social Impact Assessment for Mumbai Metro Line-III (Colaba-Bandra-SEEPZ) 
 
 
Contents   
 
 
 
LIST OF ANNEXURES 
 
NO TITLE 
2.1  Public Notification in English   
2.2  Public Notification in Hindi 
2.3  Household Questionnaire 
2.4  Format for Public Consultation 
3.1  Structures at Kalbadevi 
3.2  Structures at Gigaon 
3.3  Structures at Grant Road 
3.4  Structures at Acharya Atray Chowk 
3.5  Structures at Dharavi 
3.6  Structures at Santacruz 
3.7  Structures at Marol Naka  
3.8  Structures at MIDC 
5.1 to 5.8 Minutes of Public Consultation at Local Level 
5.9  Minutes of Public Hearing at City Level 
5.10  Disclosure Material 
6.1  NRRP,2007 
6.2  R&R Policy for MUTP,2007 
7.1  List of NGOs 
11.1  Format for RAP Implementation 
11.2  ToR for Independent Evaluation Agency      
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
10,PDF page 10," 
Social Impact Assessment for Mumbai Metro Line-III (Colaba-Bandra-SEEPZ) 
 
Introduction        0.1 
 
CHAPTER-0 
EXECUTIVE SUMMARY 
0.1 THE PROJECT 
The Government of Maharashtra through Mumbai Metropolitan Region Development 
Authority (MMRDA) has identified metro mode of  transport as efficient, economically viable 
and environmentally friendly mass transport syst em to meet the future transportation 
requirement in Mumbai/Mumbai Metropolitan Re gion (MMR). A master plan for Mumbai 
metro was prepared in 2004 which proposed impl ementation of metro corridors in three 
phases i.e. Phase I:2005-2011,Phase II:2011-2016 and Phase III:2016-2021.MMRDA has 
carried out DPR studies of all three corridors of Phase-I during 2005-2009 and DPRs of four 
lines of Phase-II & III in 2010. 
 
To provide multimodal access to the airport passengers at Chattrapathi Shivaji International 
Airport (CSIA),it has been considered necessary  metro connectivity to/from major parts of 
the City. The National Facilitation Committee( NFC) decided that metro connectivity to CSIA 
be expedited  and put in Phase I rather than in Phase III as per Metro Master Plan. This was 
decided to be achieved by merging Line 6 of Phase III,named BKC-Kanjur Marg via Airport 
with the Line 3 of Phase I,i.e. Colaba-Mahi m-Bandra and run through services from Colaba 
till SEEPZ. With this background, MMRDA through MMRC commissioned the services of 
RITES to prepare DPR and Environmental and Social Impact Assessment studies for 
Colaba-Bandra-SEEPZ corridor. 
 
0.1.2 Project Description 
The length of Colaba-Bandra-SEEPZ corridor is 33. 51 km. It will facilitate the commuters to 
travel from South Mumbai to Airport via Mahim- BKC. It will also provide direct access to the 
economic hubs such as BKC, MIDC Industrial Estate, SEEPZ and famous landmarks such 
as Kalina University, Mahalaxmi etc. The corridor has been proposed as fully underground 
keeping in consideration of soci al and environmental aspects. The rail level of the metro line 
under study is proposed to be kept at least 15 m below ground level at station and in tunnel 
portion. Rock is available at a depth of 2.10 m to 10.0 m from the ground level along the 
alignment. The rail level will be kept at such level to have a minimum of 6 m rock cushion 
available over the tunnel. This will facilita te to avoid underground utilities and building 
foundations. Total number of stations are 27, which is underground, no stations are at grade 
or elevated. It has design speed 80kmph and schedule speed is 30 kmph. Traction system is 
25 KV AC, power demand (MVA) is 65-48 MVA in 2016, and receiving sub station shall be at 
Colaba (Cuffe Parade), Race Cource and D haravi. 3.2 m (maximum) wide modern rolling 
stock is with axle load 17t. The seating ar rangement is longitudinal for 1178 passengers in 
four coaches train unit. The completion cost of the project works out to Rs.24340 crore. 
 
 
0.1.3 Land Acquisition  
 
The proposed metro rail project shall require l and mainly for route alignments of rail tracks, 
station buildings, platforms, entry/exit structures, traffic integration, car shed, power sub-
stations, ventilation shafts, administrative buildings, property development, maintenance and 
construction depots at work sites etc. For the above purpose the project will involve "
